Time [s],Channel 0
50.790936320,1
50.794553600,0
50.967299040,1
50.996016800,0
51.184234720,1
51.241785280,0
51.325613760,1
51.455467360,0
51.587437440,1
51.594295520,0
52.326041760,1
52.456962400,0
52.508632800,1
52.537762400,0
52.944020160,1
52.957123200,0
53.315026720,1
53.474426400,0
54.331981760,1
54.476443680,0
55.328439040,1
55.443932800,0
56.321016800,1
56.436717600,0
57.342916640,1
57.441930240,0
58.338176960,1
58.441344000,0
59.337368320,1
59.443000960,0
60.333823200,1
60.436548320,0
61.346721920,1
61.429915520,0
62.328469760,1
62.431597440,0
63.338400000,1
63.551190880,0
63.566216000,1
63.571572960,0
64.323817280,1
64.432135040,0
65.329156480,1
65.435848320,0
66.325555520,1
66.435946880,0
67.332978560,1
67.567037280,0
68.316036800,1
68.533943200,0
69.320687360,1
69.450957280,0
69.809664480,1
69.875066080,0
69.910226560,1
69.941799520,0
70.317733120,1
70.428307680,0
70.493962080,1
70.516629280,0
70.531596640,1
70.561247040,0
70.970119200,1
71.031683360,0
71.320682080,1
71.480425920,0
71.509354720,1
71.534560800,0
72.264017440,1
72.285939200,0
72.318686240,1
72.454408160,0
72.460318080,1
72.574923360,0
73.314294240,1
73.398234720,0
73.414132640,1
73.474993120,0
73.484660800,1
73.488882080,0
74.028538560,1
74.053138880,0
74.108120800,1
74.116821600,0
74.121914400,1
74.137555840,0
74.317590400,1
74.490502400,0
74.564512480,1
74.573745440,0
74.819263040,1
74.835622240,0
74.844345600,1
74.848714240,0
74.866931040,1
74.871222240,0
74.966752640,1
74.993429600,0
75.150297440,1
75.152843520,0
75.184777920,1
75.201808320,0
75.206003040,1
75.217442080,0
75.262105440,1
75.277939840,0
75.285336320,1
75.293028960,0
75.311801600,1
75.350731520,0
75.358227520,1
75.365063840,0
75.417168640,1
75.472370240,0
76.190331360,1
76.194488320,0
76.260791680,1
76.370486720,0
76.416464320,1
76.467724000,0
76.665727360,1
76.682338400,0
77.010816320,1
77.018131200,0
77.334844640,1
77.413402560,0
77.420429600,1
77.468208960,0
77.475002560,1
77.566512800,0
78.316238720,1
78.412668000,0
78.478094240,1
78.555078400,0
79.234237760,1
79.244591200,0
79.325446720,1
79.549292320,0
80.355529120,1
80.535655840,0
81.326683520,1
81.463932320,0
82.326338080,1
82.534403360,0
83.323934080,1
83.453171040,0
84.330177600,1
84.536006400,0
85.326149760,1
85.438925120,0
86.331647520,1
86.543865280,0
87.336158240,1
87.442322720,0
88.330020960,1
88.544591520,0
89.314578240,1
89.438286720,0
90.329890720,1
90.531740160,0
91.341990560,1
91.537429600,0
92.323386240,1
