Time [s],Channel 0
328.746775360,1
328.870420640,0
329.758226880,1
329.874034560,0
330.753364320,1
330.877584160,0
331.749931040,1
331.865266880,0
332.755129440,1
332.867396800,0
333.754630080,1
333.871145760,0
334.747261440,1
334.893002560,0
335.753792640,1
335.868942880,0
336.756518560,1
336.869467520,0
337.752873280,1
337.874512960,0
338.751423040,1
338.869277760,0
339.751512960,1
339.871043840,0
340.753773440,1
340.881159040,0
341.751015840,1
341.917349440,0
342.006933760,1
342.023205120,0
342.752072640,1
342.889556000,0
343.749782880,1
343.896655360,0
344.749356640,1
344.881952640,0
345.754977600,1
345.998358400,0
346.747487520,1
346.876984640,0
347.749473920,1
347.894480320,0
348.756918240,1
348.876471520,0
349.757176000,1
349.981136320,0
350.749818560,1
350.989907680,0
351.126030080,1
351.138587360,0
351.752773280,1
351.874559360,0
352.749308640,1
352.874632960,0
353.756719040,1
353.988719520,0
354.761535200,1
354.887060800,0
355.113797760,1
355.133691520,0
355.754808000,1
355.889200640,0
355.907400000,1
355.942332960,0
356.752191520,1
356.886659520,0
357.754466720,1
357.880015840,0
358.748388320,1
358.883881760,0
359.752516480,1
359.971868000,0
360.746399200,1
360.961083520,0
361.742288960,1
362.000099680,0
362.754017280,1
362.978996160,0
363.748091680,1
363.868422240,0
364.536957120,1
364.550069920,0
364.747869920,1
364.973970240,0
365.753241120,1
365.898086560,0
366.747465760,1
366.972659200,0
367.747151840,1
367.876793920,0
368.751443520,1
368.871139840,0
369.752082400,1
369.962804960,0
370.754636320,1
370.974628480,0
371.757169120,1
371.890936160,0
372.744204640,1
372.968307040,0
373.755366080,1
373.894958400,0
374.603086080,1
374.607825120,0
374.750269440,1
374.877497600,0
375.750329120,1
375.965860640,0
376.756418240,1
377.013581600,0
377.755686880,1
377.995263840,0
378.749727360,1
378.867783360,0
379.752563040,1
380.011852480,0
380.756368960,1
380.975769120,0
381.757899360,1
382.068084960,0
382.754484640,1
383.073072320,0
383.764852480,1
383.983783200,0
384.752371680,1
385.071776320,0
385.757219680,1
385.868323520,0
386.750052320,1
387.311011520,0
387.750840960,1
387.875493600,0
388.746942080,1
388.877515360,0
389.754998880,1
389.903873760,0
390.745665760,1
390.901552800,0
391.753378720,1
391.871578400,0
392.749001920,1
392.875659360,0
393.745627360,1
393.901117760,0
394.752790240,1
394.889154400,0
395.749594720,1
395.880547680,0
396.752975040,1
396.875822400,0
397.750698400,1
397.875067520,0
398.755489440,1
398.874617280,0
399.752768800,1
399.925525440,0
400.750838080,1
400.893413920,0
401.753471360,1
401.882288640,0
402.748612800,1
402.956424640,0
403.742464160,1
403.864666880,0
404.742632480,1
404.873449280,0
405.758441600,1
405.973502720,0
406.747148640,1
406.863639840,0
407.756833760,1
407.860310240,0
408.757637280,1
408.874451840,0
409.748300960,1
409.992647200,0
410.748099040,1
410.966096000,0
411.753973760,1
411.876137440,0
412.755400640,1
412.901078880,0
413.755914400,1
413.978324320,0
414.745963360,1
414.867724640,0
